supplierId,name,type,address,cName,phone
8001,Grommet Builders,local,788 30th St. SE Calgary,Fred,406-785-5747
8002,Pong Works,local,749 Dufferin Blvd. SE Calgary,Bart,587-000-7578
8003,Wiley Inc.,local,26 40th St. SE Calgary,BillyBob,403-999-8735
8004,Winork Manufacturing Inc.,local,156 51st Ave. SE Calgary,Marty,403-888-8943
8005,Grab Bag Inc.,international,138 42nd Ave. NE Frankfurt,Monty,999-424-7834
8006,Paddy's Manufacturing,international,311 Sushi St NE Tokyo,Ishin,123-458-7353
8007,Smickles Industries,local,966 Smed Lane SE Calgary,Henry,054-987-3545
8008,Thangs Inc.,international,879 37th Ave. NE Houston,George,256-871-3418
8009,Flip Works Inc.,international,472 Ogden Dale Rd. SE Copenhagen,Hans,748-685-7823
8010,Irkle Industries,local,"754 Sunridge Way, NE, Calgary",Fred,789-564-1565
8011,Biff Builders,local,690 19th St. NE Calgary,Borjn,787-156-3658
8012,Twinkles Inc.,local,318 29th St. NE Calgary,Barkley,008-748-1636
8013,Piddles Industries,international,238 112th Ave. NE Calgary,Parnell,789-453-1233
8014,Tic Tac Manufacturing,local,598 Palmer Rd. NE Calgary,Teisha,654-731-8963
8015,Knock Knock Inc.,international,363 42nd Ave. NE Calgary,Ned,973-721-8931
8016,Corky Things Inc.,local,35 McCall Way NE Calgary,Corrine,341-786-4235
8017,E & O Industries,local,883 44th St. SE Calgary,Stan,789-423-7895
8018,Fiddleys Makes Stuff Inc.,local,350 27th St. NE Calgary,Fredda,987-145-3247
8019,Horks and Stuff Manufacturing,local,997 42nd Ave. NE Calgary,Harold,456-789-1234
8020,Wings Works,international,754 48th St. SE Hong Kong,Wing,987-456-7892
